Step,Text,Caution,Warning,Figure,StepDisplay,Tool
24,Remove the <b>BLUE</b> CARABINEER's tether from the <b>TETHER</b> <b>CABLE.</b>, ,All tethers are under spring tension and can retract quickly.,False,1.24,
Name:Rerouting Power Procedure,,,,,,
1, Locate the Aux. Power Input,,,False,2.1,
2, Locate <b>BATTERY</b> <b>PACK</b> and tether to <b>TETHER</b> <b>CABLE.</b>,,,False,2.2,
3, Undo the <b>BATTERY</b> <b>PACK</b> <b>LEADS</b> from the <b>AUX.</b> <b>POWER</b> <b>INPUT.</b>,Depress the red and black plastic hammers on the side of the <b>AUX.</b> <b>POWER</b> <b>INPUT</b> and pull the leads straight up.,,True,2.3,
4, Remove <b>BATTERY</b> <b>PACK</b> from <b>AUX.</b> <b>POWER</b> <b>INPUT.</b>,,,False,2.4,
5, Locate the <b>ON/OFF</b> switch on the back of the <b>BATTERY</b> <b>PACK</b> and switch it to the <b>OFF</b> position.,,,True,2.5,
6, Place the <b>BATTERY</b> <b>PACK</b> into <b>STORAGE.</b>,,,False,2.6,
7,"In <b>STORAGE,</b> find the replacement <b>BATTERY</b> <b>PACK.</b>",,,False,2.7,
8,Locate the <b>ON/OFF</b> switch on the back of the <b>BATTERY</b> <b>PACK</b> and switch it to the <b>ON</b> position.,,,False,2.8,
9,Attach the replacement <b>BATTERY</b> <b>PACK</b> onto the <b>AUX.</b> <b>POWER</b> <b>INPUT</b> by the Velcro.,,,False,2.9,
10, Insert the <b>BATTERY</b> <b>PACK</b> leads back into same colored ports.,Depress the red and black plastic hammers on the side of the <b>AUX.</b> <b>POWER</b> <b>INPUT</b> and push leads straight into their ports.,,False,2.1,
11, Conduct a <b>GENTLE</b> <b>PULL</b> <b>TEST</b> on the wires.,,,False,2.11,
12, Remove the <b>BATTERY</b> <b>PACK</b> tether from the <b>TETHER</b> <b>CABLE.</b>,,All tethers are under spring tension and can retract quickly.,True,2.12,
13," In <b>STORAGE,</b> locate the <b>GRAY</b> 220 Volt <b>PLUG.</b>",,,False,2.13,
14, Install it into the <b>POWER</b> <b>OUT.</b>,"Outlet and plug mate are stiff, ensure the full engagement of the plug into the outlet.",,False,2.14,
15," Locate the metal <b>BUSS</b> <b>BAR</b> and verify there are <b>BLACK,</b> <b>GREEN</b> & <b>WHITE</b> <b>BUSSES,</b> each with 2 openings.",,,False,2.15,
16, Insert the <b>WHITE</b> 220 <b>VOLT</b> <b>LEAD</b> into the <b>LEFT</b> <b>WHITE</b> <b>BUSS</b> opening and <b>GENTLY</b> <b>TIGHTEN</b> the thumbscrew.,<b>DO</b> <b>NOT</b> over tighten the thumbscrew.,,True,2.16,
17, Insert the <b>GREEN</b> 220 <b>VOLT</b> <b>LEAD</b> into the <b>LEFT</b> <b>GREEN</b> <b>BUS</b> opening.,<b>DO</b> <b>NOT</b> over tighten the thumbscrew.,,True,2.17,
18, Insert the <b>BLACK</b> 220 <b>VOLT</b> <b>LEAD</b> into the <b>LEFT</b> <b>BLACK</b> <b>BUS</b> opening.,<b>DO</b> <b>NOT</b> over tighten the thumbscrew.,,True,2.18,
19, Make sure the <b>METAL</b> <b>LEADS</b> are not sticking out the <b>BACK</b> of the <b>BUSS</b> <b>BAR.</b>,,,False,2.19,
20, Conduct a Gentle <b>PULL</b> <b>TEST</b> on each cable.,,,False,2.2,
21," In <b>STORAGE,</b> locate the 110 <b>VOLT</b> <b>PLUG</b> and install it into <b>POWER</b> <b>IN.</b>",Lift cover with one hand while installing <b>PLUG</b> into the outlet with the other. The lid is spring-loaded.,,True,2.21,
22, Insert the <b>WHITE</b> 110 <b>VOLT</b> <b>PLUG</b> <b>LEAD</b> into the <b>RIGHT</b> <b>WHITE</b> <b>BUS</b> opening.,<b>DO</b> <b>NOT</b> over tighten the thumbscrew.,,True,2.22,
23, Insert the <b>GREEN</b> 110 <b>VOLT</b> <b>PLUG</b> <b>LEAD</b> into the <b>RIGHT</b> <b>GREEN</b> <b>BUS</b> opening.,<b>DO</b> <b>NOT</b> over tighten the thumbscrew.,,True,2.23,
24, Insert the <b>BLACK</b> 110 <b>VOLT</b> <b>PLUG</b> <b>LEAD</b> into the <b>RIGHT</b> <b>BLACK</b> <b>BUS</b> opening.,<b>DO</b> <b>NOT</b> over tighten the thumbscrew.,,True,2.24,
25, Conduct a Gentle <b>PULL</b> <b>TEST</b> on each cable,,,True,2.25,
26," In <b>STORAGE,</b> locate the <b>E-STOP</b> <b>KEY.</b>",,,True,2.26,
27, Insert the <b>KEY</b> into the <b>E-STOP</b> and <b>TURN</b> to the <b>RIGHT</b> and the button will pop up.,,,False,2.27,
28, Remove the <b>KEY</b> and place it in <b>STORAGE.</b>,,,True,2.28,
29, Locate the <b>AUX.</b> <b>POWER</b> <b>SWITCH</b> on the <b>POWER</b> <b>IN</b> box and switch it to the <b>ìONî</b> position.,,,False,2.29,
30, Can you please confirm <b>YES</b> or <b>NO</b> that the <b>SYSTEM</b> <b>GO</b> indicator light is <b>GREEN?</b>,,,False,2.3,
31," <b>IF</b> <b>GREEN,</b> read this script: <b>EVA</b> 1, this is Houston Mission Control. Congratulations. <b>PHALCON</b> is reporting that they are reading a successful power restoration on their console. You are a go to untether from the <b>TETHER</b> <b>CABLE</b> and return to space station. Mission Control out.",,,False,2.31,
32," <b>IF</b> <b>NOT</b> <b>GREEN,</b> read this script: <b>EVA</b> 1, this is Houston Mission Control. <b>PHALCON</b> confirms and is not able to report a successful power restoration on their console. <b>EVA-1,</b> please be advised that we have prepared some trouble-shooting steps for you to conduct on a future spacewalk.",,,False,2.32,
