Step,Text,Caution,Warning,Figure,StepDisplay,Tool
11, Conduct a GENTLE PULL TEST on the wires.,,,FALSE,2.11,
12, Remove the BATTERY PACK tether from the TETHER CABLE.,,All tethers are under spring tension and can retract quickly.,TRUE,2.12,battery
13," In STORAGE, locate the GRAY 220 Volt PLUG.",,,FALSE,2.13,220Vplug
14, Install it into the POWER OUT.,"Outlet and plug mate are stiff, ensure the full engagement of the plug into the outlet.",,FALSE,2.14,
15," Locate the metal BUSS BAR and verify there are BLACK, GREEN & WHITE BUSSES, each with 2 openings.",,,FALSE,2.15,
16, Insert the WHITE 220 VOLT LEAD into the LEFT WHITE BUSS opening and GENTLY TIGHTEN the thumbscrew.,DO NOT over tighten the thumbscrew.,,TRUE,2.16,220Vplug
17, Insert the GREEN 220 VOLT LEAD into the LEFT GREEN BUS opening.,DO NOT over tighten the thumbscrew.,,TRUE,2.17,220Vplug
18, Insert the BLACK 220 VOLT LEAD into the LEFT BLACK BUS opening.,DO NOT over tighten the thumbscrew.,,TRUE,2.18,220Vplug
19, Make sure the METAL LEADS are not sticking out the BACK of the BUSS BAR.,,,FALSE,2.19,
20, Conduct a Gentle PULL TEST on each cable.,,,FALSE,2.20,
21," In STORAGE, locate the 110 VOLT PLUG and install it into POWER IN.",Lift cover with one hand while installing PLUG into the outlet with the other. The lid is spring-loaded.,,TRUE,2.21,110vplug
22, Insert the WHITE 110 VOLT PLUG LEAD into the RIGHT WHITE BUS opening.,DO NOT over tighten the thumbscrew.,,TRUE,2.22,110vplug
23, Insert the GREEN 110 VOLT PLUG LEAD into the RIGHT GREEN BUS opening.,DO NOT over tighten the thumbscrew.,,TRUE,2.23,110vplug
24, Insert the BLACK 110 VOLT PLUG LEAD into the RIGHT BLACK BUS opening.,DO NOT over tighten the thumbscrew.,,TRUE,2.24,110vplug
25, Conduct a Gentle PULL TEST on each cable,,,TRUE,2.25,
26," In STORAGE, locate the E-STOP KEY.",,,TRUE,2.26,estopkey
27, Insert the KEY into the E-STOP and TURN to the RIGHT and the button will pop up.,,,FALSE,2.27,estopkey
28, Remove the KEY and place it in STORAGE.,,,TRUE,2.28,estopkey
29, Locate the AUX. POWER SWITCH on the POWER IN box and switch it to the ìONî position.,,,FALSE,2.29,
30, Can you please confirm YES or NO that the SYSTEM GO indicator light is GREEN?,,,FALSE,2.30,
31," IF GREEN, read this script: EVA 1, this is Houston Mission Control. Congratulations. PHALCON is reporting that they are reading a successful power restoration on their console. You are a go to untether from the TETHER CABLE and return to space station. Mission Control out.",,,FALSE,2.31,
32," IF NOT GREEN, read this script: EVA 1, this is Houston Mission Control. PHALCON confirms and is not able to report a successful power restoration on their console. EVA-1, please be advised that we have prepared some trouble-shooting steps for you to conduct on a future spacewalk.",,,FALSE,2.32,
Name:Clean Up Procedure,,,,,,
1,Engage the E-Stop button,,,FALSE,3.1,
2,Disconnect all leads for the 110 Volt & 220 Volt Plug LEADS,,,FALSE,3.2,110v220v
3,Unplug the 110V & 220V PLUGS and stow the plugs in the STORAGE AREA,,,FALSE,3.3,110v220v
4,Switch the BATTERY PACKS switch to the “OFF” position,,,FALSE,3.4,battery
5,Ensure all remaining items are either installed securely or tethered in the STORAGE AREA,,,FALSE,3.5,
6,Close the PANEL ACCESS DOOR and lock the door with the keys from the tethering belt to secure the area,,,FALSE,3.6,
7,Return tethering belt and gloves to the instructor,,,FALSE,3.7,
